Name,DOB,Aadhaar/SSN,Address,Pension Scheme,Pension Type,Amount,Date of Disbursement,Frequency,Bank Account,IFSC,District,State,Region,benefit_count_per_person,benefit_amount_total,Pension Scheme_Disability Pension,Pension Scheme_Farmer Pension,Pension Scheme_Old Age Pension,Pension Scheme_Widow Pension,Pension Type_Central,Pension Type_State,Frequency_Monthly,Frequency_Quarterly,District_DistrictA,District_DistrictB,District_DistrictC,State_State1,State_State2,Region_North,Region_South,block_key,cluster_dbscan,Fraud_Flag
Michael Huynh,1964-06-03,661948230408,"43749 Cheryl Wall Apt. 277, Grayland, MA 73433",Disability Pension,Central,3641.19,2020-10-07,Quarterly,874516627013,IFSC3362,DistrictA,State1,South,2,10090.16,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,mic_south,8,Suspicious
Stephen Griffin,1948-01-11,825589871974,"3128 Daniel Rapids Suite 813, Laurieland, OK 84609",Widow Pension,Central,1620.16,2024-02-09,Quarterly,158009141876,IFSC7415,DistrictC,State2,South,1,1620.16,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,ste_south,58,Suspicious
Michelle Chavez,1935-08-12,130072986043,"USCGC Lee, FPO AE 59868",Farmer Pension,State,2470.37,2020-09-12,Quarterly,575787740987,IFSC9789,DistrictA,State2,North,1,2470.37,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,mic_north,17,Suspicious
Christopher Green,1941-12-01,917474214701,"83095 Tim Streets, Lake Ronald, NH 03068",Disability Pension,State,2449.77,2020-07-09,Quarterly,385055500903,IFSC8506,DistrictA,State1,South,1,2449.77,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,chr_south,21,Suspicious
Andrew Turner,1952-01-09,922115382162,"1241 Buckley Fords, Lake Sandraburgh, IN 20833",Disability Pension,Central,1695.41,2021-04-05,Quarterly,561070556770,IFSC5749,DistrictA,State1,North,1,1695.41,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,and_north,97,Suspicious
Michael Howard,1945-12-02,73388834584,"00581 Lester Coves, Patrickfort, WY 62385",Widow Pension,State,2968.59,2024-01-20,Monthly,926316666532,IFSC1045,DistrictA,State2,South,1,2968.59,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,mic_south,8,Suspicious
Joseph Strong,1956-07-07,176792926389,"791 Andrea Tunnel Suite 597, West Austin, KY 64247",Widow Pension,State,4452.69,2022-04-07,Quarterly,607004775238,IFSC5073,DistrictC,State2,North,1,4452.69,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,jos_north,46,Suspicious
Andrew Jones,1958-03-25,929280802883,"4462 Dickson Freeway Apt. 675, Cooperton, NY 14359",Disability Pension,State,2391.53,2022-09-16,Monthly,842018371668,IFSC1033,DistrictB,State1,North,1,2391.53,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,and_north,97,Suspicious
Michael Leblanc,1936-05-26,737333022356,"57556 Simmons Row, Jenniferside, NJ 31711",Old Age Pension,State,3968.02,2023-07-19,Monthly,035268886493,IFSC2131,DistrictA,State1,North,1,3968.02,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,mic_north,17,Suspicious
Andrew Burns,1945-04-18,173385115381,"37260 Martin Stream Apt. 599, Sweeneyfort, IN 53245",Farmer Pension,Central,2041.53,2022-08-12,Quarterly,654967551337,IFSC7337,DistrictB,State1,North,1,2041.53,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,and_north,97,Suspicious
Michael Drake,1937-01-06,801463968463,"2653 Lucas Dale Suite 016, Brianton, WY 97328",Disability Pension,Central,2481.07,2021-11-30,Monthly,807881147262,IFSC0950,DistrictA,State2,North,2,6117.26,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,mic_north,17,Suspicious
Andrew Edwards,1947-03-23,835478711267,"8957 Fleming Locks, Jamesfurt, MD 12646",Disability Pension,State,1396.71,2024-06-17,Monthly,243151862460,IFSC6188,DistrictC,State2,North,1,1396.71,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,and_north,97,Suspicious
Stephanie Hogan,1941-08-11,586683735650,"PSC 6595, Box 3573, APO AP 25383",Old Age Pension,Central,4553.14,2022-03-02,Monthly,675961604285,IFSC0607,DistrictB,State2,South,1,4553.14,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,ste_south,58,Suspicious
Anthony Watkins,1949-02-27,936722111077,"290 Mcconnell Crossroad Suite 381, Bonillaville, SD 21968",Disability Pension,Central,3280.3,2023-01-11,Monthly,622421592140,IFSC7597,DistrictB,State2,North,1,3280.3,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,ant_north,80,Suspicious
Andrew Smith,1949-05-01,10847810423,"779 Roberts Plaza, Welchburgh, WA 78200",Widow Pension,State,3729.18,2020-01-23,Monthly,746943206173,IFSC3073,DistrictC,State2,North,1,3729.18,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,and_north,97,Suspicious
Andrew Escobar,1938-10-03,587801791771,"72823 West Key, Klinestad, NV 76578",Old Age Pension,State,4396.73,2022-06-04,Monthly,198763648664,IFSC2398,DistrictA,State2,North,1,4396.73,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,and_north,97,Suspicious
Andrew Bernard,1953-07-24,142889097873,"354 Thompson Dale Apt. 239, West Erikland, SC 26534",Old Age Pension,State,2827.36,2024-10-13,Monthly,602812009783,IFSC0719,DistrictB,State1,North,1,2827.36,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,and_north,97,Suspicious
Michael Mcbride,1937-04-02,12515993515,"46194 Williams Crest Suite 099, Port Jeffrey, NE 58239",Old Age Pension,Central,3306.22,2021-06-10,Quarterly,335593569048,IFSC5507,DistrictC,State1,North,1,3306.22,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,mic_north,17,Suspicious
Greg Jenkins,1958-03-02,763150004483,"530 Courtney Pine Suite 847, Toddhaven, ID 95872",Farmer Pension,State,3517.73,2024-09-28,Monthly,361078317946,IFSC3800,DistrictA,State1,South,1,3517.73,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,gre_south,85,Suspicious
Joseph Watkins,1957-02-16,840612529564,"5394 Lopez Ramp Apt. 524, North Ryanfurt, TN 48013",Farmer Pension,Central,2830.89,2022-09-26,Monthly,542457525465,IFSC7090,DistrictB,State2,North,1,2830.89,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,jos_north,46,Suspicious
Christine Nixon,1956-04-01,81853921409,"USS Mcdaniel, FPO AA 46991",Old Age Pension,State,3779.92,2020-09-21,Quarterly,297367359109,IFSC9504,DistrictA,State1,South,1,3779.92,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,chr_south,21,Suspicious
Heather Barton,1953-06-15,162887882257,"Unit 8920 Box 8362, DPO AE 91852",Farmer Pension,State,1471.11,2021-05-11,Quarterly,281626195882,IFSC7819,DistrictA,State1,North,1,1471.11,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,hea_north,126,Suspicious
Michael Watson,1936-09-02,22820546683,"847 Robinson Curve, North Roger, MS 12034",Farmer Pension,State,3668.21,2024-08-25,Quarterly,966352425700,IFSC9416,DistrictC,State2,South,1,3668.21,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,mic_south,8,Suspicious
Ashley Gonzalez,1942-02-21,941573445812,"86984 Darren Cape, Toddmouth, WI 09897",Disability Pension,Central,1474.41,2024-04-08,Monthly,635040178067,IFSC9691,DistrictC,State1,North,2,4094.34,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,ash_north,69,Suspicious
Michael Mitchell,1938-10-25,816396440123,"287 Thompson Lodge Apt. 878, Lake Derrick, ND 46100",Farmer Pension,Central,3480.14,2020-08-01,Monthly,912647770862,IFSC4563,DistrictC,State1,South,1,3480.14,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,mic_south,8,Suspicious
Steven Smith,1934-07-04,134449641909,"Unit 7842 Box 8213, DPO AP 90721",Disability Pension,State,2436.52,2023-11-01,Quarterly,647101326048,IFSC1060,DistrictA,State2,South,1,2436.52,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,ste_south,58,Suspicious
Joseph Oliver,1944-08-07,136628586266,"Unit 7979 Box 3772, DPO AE 19941",Widow Pension,Central,4949.66,2024-07-20,Monthly,579025861708,IFSC4389,DistrictA,State1,North,1,4949.66,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,jos_north,46,Suspicious
Christopher Johnson,1942-01-01,483302137243,"USNS Martinez, FPO AA 05629",Disability Pension,Central,3727.48,2021-02-26,Quarterly,917464816841,IFSC8297,DistrictC,State2,South,1,3727.48,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,chr_south,21,Suspicious
Gregory Willis,1958-02-28,344048343119,"2409 Porter View Apt. 740, Port Christophermouth, CT 81669",Farmer Pension,Central,4908.81,2020-06-02,Monthly,971908970402,IFSC6156,DistrictA,State1,South,1,4908.81,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,gre_south,85,Suspicious
Joshua Mccarthy,1960-11-04,254167772228,"53207 Rachel Villages Suite 516, Richardburgh, SC 85453",Old Age Pension,State,3301.95,2020-01-27,Monthly,257505245498,IFSC9968,DistrictB,State2,North,1,3301.95,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,jos_north,46,Suspicious
Michael Christensen,1951-06-01,964835381806,"828 Kristy Spur, Colleenfurt, SC 07484",Old Age Pension,Central,3673.59,2024-05-30,Quarterly,940947314582,IFSC4323,DistrictB,State2,South,1,3673.59,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,mic_south,8,Suspicious
Michael Herman,1963-12-26,504602848606,"3187 Mason Stream, Turnermouth, DE 36768",Farmer Pension,Central,1739.92,2022-04-26,Monthly,292330025722,IFSC4625,DistrictB,State2,South,2,5243.08,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,mic_south,8,Suspicious
Micheal Lester,1936-08-07,296204996075,"Unit 4196 Box 3922, DPO AA 28975",Disability Pension,State,3951.4,2020-05-25,Monthly,567977934373,IFSC2297,DistrictA,State1,South,1,3951.4,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,mic_south,8,Suspicious
Brian Booth,1945-08-07,574868403910,"9999 Gordon Green Suite 790, Lake Jennifer, TX 75061",Farmer Pension,Central,4224.08,2025-03-02,Quarterly,345259370798,IFSC9527,DistrictC,State1,South,1,4224.08,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,bri_south,70,Suspicious
Michelle Long,1951-08-16,495337156970,"6745 Melissa Hill Apt. 248, Floydfort, VT 70004",Disability Pension,Central,1127.27,2024-05-20,Monthly,042833178010,IFSC5564,DistrictC,State2,North,1,1127.27,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,mic_north,17,Suspicious
Michelle Gonzalez,1935-05-08,292470798629,"Unit 5206 Box 7157, DPO AA 43060",Farmer Pension,Central,4557.63,2022-05-10,Monthly,513337054133,IFSC1896,DistrictC,State1,South,1,4557.63,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,mic_south,8,Suspicious
Christy Watson,1942-01-21,597271704661,"835 Yu Shores, North James, SC 38672",Disability Pension,State,4737.74,2022-04-04,Quarterly,589707224983,IFSC5755,DistrictA,State1,South,1,4737.74,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,chr_south,21,Suspicious
Ashley Wilkins,1947-02-06,701056548550,"447 Samuel Green Suite 991, East Stephen, AL 35629",Farmer Pension,State,2346.09,2021-08-03,Monthly,268475057423,IFSC6411,DistrictB,State1,North,1,2346.09,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,ash_north,69,Suspicious
Brian Fischer,1962-04-07,742428836995,"04051 Grimes Springs Suite 908, Port Shannon, AR 75447",Farmer Pension,Central,4138.08,2021-02-17,Quarterly,003897451387,IFSC6306,DistrictA,State1,South,1,4138.08,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,bri_south,70,Suspicious
Heather Stevens,1943-09-28,217558524017,"Unit 1898 Box 1406, DPO AP 29624",Farmer Pension,Central,1011.37,2024-06-01,Monthly,755201833592,IFSC7711,DistrictB,State2,North,1,1011.37,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,hea_north,126,Suspicious
Michael Strong,1951-03-05,339650085162,"2049 Shawn Port, Hallshire, NY 71870",Farmer Pension,Central,2454.04,2023-08-17,Monthly,228371532560,IFSC2285,DistrictC,State1,North,1,2454.04,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,mic_north,17,Suspicious
Steve Ryan,1944-03-03,981111167096,"245 Nathan Street, Lake Kenneth, OR 30617",Disability Pension,State,2917.61,2021-03-07,Quarterly,368893789182,IFSC7333,DistrictB,State1,South,1,2917.61,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,ste_south,58,Suspicious
Stephanie Brown,1951-01-03,931329192077,"082 Samantha Drives, Lake Susanbury, KY 58779",Old Age Pension,Central,2299.94,2021-08-24,Monthly,984605759367,IFSC6350,DistrictC,State2,South,1,2299.94,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,ste_south,58,Suspicious
Andrew Calhoun,1962-07-23,204282271095,"4231 Toni Track Apt. 042, New Michelleton, OR 30216",Widow Pension,Central,2486.63,2021-12-20,Quarterly,323117476776,IFSC2778,DistrictC,State2,North,2,7524.19,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,and_north,97,Suspicious
Michael Aguirre,1941-05-30,223862056123,"5509 Cassandra Courts, Amyburgh, OK 22337",Widow Pension,State,2848.59,2022-01-21,Quarterly,078775932531,IFSC5717,DistrictA,State1,North,1,2848.59,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,mic_north,17,Suspicious
Christopher Miller,1943-01-05,455772135258,"7865 Green Landing Suite 807, Josephfort, AZ 30895",Old Age Pension,Central,4061.12,2021-05-11,Monthly,151523222412,IFSC0825,DistrictA,State1,South,1,4061.12,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,chr_south,21,Suspicious
Michele Silva,1952-06-07,853058415368,"7126 Larson Mission, East Jamesshire, SD 46054",Farmer Pension,State,3654.52,2024-04-23,Quarterly,373954016968,IFSC1116,DistrictB,State2,North,1,3654.52,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,mic_north,17,Suspicious
Christopher Leon,1960-09-08,230439776866,"40877 Lisa Bridge, South Sarah, GA 24705",Farmer Pension,State,4234.79,2023-08-12,Quarterly,866221986096,IFSC0419,DistrictC,State1,South,1,4234.79,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,chr_south,21,Suspicious
Joseph Rodriguez,1965-02-02,112502089542,"95182 Williams Mountains Suite 744, Port Sharon, MD 59348",Disability Pension,Central,3710.49,2022-10-12,Monthly,424049516098,IFSC9098,DistrictC,State2,North,1,3710.49,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,jos_north,46,Suspicious
Joseph Rose,1959-11-05,244214758807,"8364 Alyssa Ramp, Katrinaport, ND 56164",Widow Pension,State,1662.4,2020-02-29,Monthly,054595273377,IFSC0542,DistrictC,State1,North,2,4733.74,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,jos_north,46,Suspicious
Ashley Murphy,1952-01-20,434232691486,"71391 Christopher Station, East Jeremy, NY 33287",Widow Pension,Central,1501.77,2022-04-30,Quarterly,097367917088,IFSC8788,DistrictB,State2,North,1,1501.77,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,ash_north,69,Suspicious
Andrea Dixon,1943-02-23,672963042477,"174 Joseph Lake, East Davidmouth, MA 70105",Old Age Pension,State,3659.12,2024-09-09,Quarterly,223881890115,IFSC6335,DistrictA,State2,North,1,3659.12,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,and_north,97,Suspicious
Michael Harris,1937-04-26,774840613197,"USS Allen, FPO AA 13231",Farmer Pension,Central,1469.68,2022-08-15,Monthly,333449574022,IFSC7079,DistrictC,State2,South,1,1469.68,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,mic_south,8,Suspicious
Joseph Thomas,1935-10-14,333354789333,"36918 Stacy Motorway, West Jason, MT 96862",Farmer Pension,Central,2064.01,2023-05-14,Quarterly,916967847345,IFSC1463,DistrictB,State2,North,1,2064.01,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,jos_north,46,Suspicious
Anthony Griffin,1940-04-22,919726242407,"50641 Collins Trail, Robertchester, KY 58639",Widow Pension,State,4903.76,2020-08-06,Quarterly,257673869455,IFSC8228,DistrictA,State1,North,1,4903.76,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,ant_north,80,Suspicious
Michelle Wilson,1944-03-19,479894564205,"442 Kristie Circles, Johnsonchester, MN 90758",Widow Pension,Central,4080.03,2022-11-07,Monthly,480273204164,IFSC1116,DistrictA,State1,North,1,4080.03,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,mic_north,17,Suspicious
Michelle Clark,1954-07-25,441348870850,"001 John Junction Apt. 807, East Lisatown, SD 49497",Farmer Pension,State,1642.75,2022-09-18,Quarterly,616101383943,IFSC3754,DistrictB,State2,North,2,4613.27,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,mic_north,17,Suspicious
Stephanie Sawyer,1943-03-17,433225967090,"98874 Morse Ways, Whitneyview, WV 03860",Old Age Pension,State,3089.64,2020-09-06,Monthly,840416721721,IFSC2127,DistrictB,State2,South,1,3089.64,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,ste_south,58,Suspicious
Stephen Pace,1937-08-02,285517556571,"273 Allen Green Suite 780, West Anitaview, VA 83659",Farmer Pension,Central,3938.59,2022-07-17,Monthly,219884410855,IFSC2563,DistrictC,State2,South,1,3938.59,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,ste_south,58,Suspicious
Michelle Russell,1936-08-11,64796961407,"896 Fernandez Curve Apt. 806, Lake Scott, UT 18458",Farmer Pension,Central,1164.5,2020-12-01,Monthly,532211369017,IFSC3386,DistrictB,State2,South,2,3728.67,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,mic_south,8,Suspicious
