Name,DOB,Aadhaar/SSN,Address,Pension Scheme,Pension Type,Amount,Date of Disbursement,Frequency,Bank Account,IFSC,District,State,Region,benefit_count_per_person,benefit_amount_total,Pension Scheme_Disability Pension,Pension Scheme_Farmer Pension,Pension Scheme_Old Age Pension,Pension Scheme_Widow Pension,Pension Type_Central,Pension Type_State,Frequency_Monthly,Frequency_Quarterly,District_DistrictA,District_DistrictB,District_DistrictC,State_State1,State_State2,Region_North,Region_South
Terri Robinson,1961-05-15,735692698147,"5059 Craig Junctions Suite 417, South Jackson, MS 59551",Farmer Pension,State,4752.59,2020-12-09,Quarterly,927802744053,IFSC8114,DistrictA,State1,North,1,4752.59,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Elizabeth Huerta,1964-06-06,81627043744,"Unit 7880 Box 7594, DPO AA 89057",Old Age Pension,State,4174.31,2023-07-25,Monthly,711775687845,IFSC4486,DistrictB,State1,North,1,4174.31,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Mrs. Alexis Garcia,1953-05-09,76545943210,"2557 Kayla Shores Suite 463, Olsenmouth, AR 88277",Farmer Pension,State,2515.3,2020-03-15,Quarterly,329462132700,IFSC1179,DistrictB,State2,North,1,2515.3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Timothy Adams,1939-08-04,750322423413,"3788 Smith Burg Apt. 462, North Ashleyside, FL 21301",Disability Pension,Central,2997.48,2021-05-12,Monthly,903016366489,IFSC6835,DistrictA,State1,South,1,2997.48,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
Thomas Stewart,1950-01-08,402067775975,"PSC 0654, Box 6086, APO AP 66752",Farmer Pension,Central,1265.06,2022-07-09,Monthly,030868992703,IFSC6209,DistrictA,State1,North,1,1265.06,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Theresa Clark,1951-05-27,745111676309,"PSC 2686, Box 2017, APO AE 24026",Disability Pension,State,2925.34,2024-02-03,Quarterly,951813742167,IFSC0227,DistrictA,State2,South,1,2925.34,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Stephanie Sanders,1958-12-02,974332983595,"7039 Lamb Radial, Robersonburgh, LA 44859",Old Age Pension,Central,4724.05,2023-02-15,Quarterly,492638526717,IFSC7088,DistrictA,State1,North,2,11959.650000000001,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Alex Schroeder,1950-06-02,818489764197,"8725 Jason Orchard Apt. 773, Wayneside, KS 86772",Farmer Pension,Central,4359.69,2020-10-13,Monthly,616662913860,IFSC9928,DistrictC,State2,North,1,4359.69,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Patricia Leonard,1952-07-01,835078880943,"9883 Payne Wells, Lake Frank, OR 51625",Old Age Pension,State,4393.24,2020-11-03,Monthly,931879937526,IFSC4395,DistrictA,State1,South,2,10824.97,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
Richard Jimenez,1959-11-29,353423646604,"33233 Prince Prairie, Fisherside, NE 74331",Farmer Pension,Central,2661.12,2023-04-09,Monthly,321664481740,IFSC7050,DistrictB,State1,North,1,2661.12,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Dr. Kathleen Patton,1949-07-29,113368485564,"040 Peters Gateway, Sharonberg, WA 96883",Widow Pension,Central,4993.26,2023-02-11,Monthly,599440146154,IFSC4182,DistrictB,State1,South,2,12482.11,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Jamie Monroe,1934-08-27,678013591696,"851 Vernon Groves, Lake Tony, VA 87880",Farmer Pension,Central,4698.87,2021-02-23,Monthly,343663328746,IFSC3725,DistrictA,State2,North,1,4698.87,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Keith Young,1963-05-20,589570714325,"30113 Bates Mills Suite 144, South Ronnieview, AZ 33929",Old Age Pension,State,4325.7,2021-04-08,Quarterly,988296793900,IFSC8057,DistrictA,State2,South,2,10947.46,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Christopher Parker,1955-01-01,19499281685,"9131 Williamson Ridges Apt. 471, Davidfurt, NE 68447",Disability Pension,State,1832.88,2020-12-11,Monthly,765374926056,IFSC5215,DistrictC,State1,South,1,1832.88,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
Mr. Richard Gardner,1943-11-16,734862990856,"62215 Sandra Lock Suite 515, Lisashire, PA 77138",Farmer Pension,State,1287.97,2020-03-09,Monthly,017149743877,IFSC5330,DistrictC,State2,North,1,1287.97,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Emma Miller,1951-03-16,146643898518,"2070 Monique Spur Suite 625, South Debra, NJ 22277",Old Age Pension,State,3869.68,2020-08-07,Quarterly,062657382958,IFSC2410,DistrictA,State2,North,1,3869.68,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Jose Ryan,1945-06-27,966875279914,"519 Shannon Ridge Apt. 995, Rothview, DC 59645",Widow Pension,State,1588.62,2020-03-07,Monthly,616103480551,IFSC6470,DistrictA,State1,South,1,1588.62,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
Nathan Matthews,1934-05-15,576067167419,"7915 Ellis Hill Suite 154, Robertberg, KS 28348",Farmer Pension,Central,4378.27,2022-03-29,Monthly,171401561732,IFSC6920,DistrictA,State1,South,1,4378.27,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
Elizabeth Brady,1946-11-14,205021808518,"USNS Morgan, FPO AP 90420",Disability Pension,Central,1528.3,2022-01-03,Quarterly,926726765911,IFSC2146,DistrictB,State2,North,1,1528.3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Cathy Carr,1951-06-19,416848012006,"USNV Evans, FPO AE 21079",Old Age Pension,State,4502.34,2024-12-22,Monthly,732350620123,IFSC3934,DistrictA,State2,North,1,4502.34,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Michael Barron,1950-04-29,625488812787,"Unit 5374 Box 0001, DPO AP 30656",Farmer Pension,State,4358.14,2022-09-22,Quarterly,221600175861,IFSC3731,DistrictC,State1,North,1,4358.14,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
Mary Horne,1950-08-10,851010593981,"205 Collins Track, Gabrielside, AZ 10986",Disability Pension,Central,3642.32,2024-10-13,Quarterly,156060777324,IFSC7451,DistrictC,State1,North,1,3642.32,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
Thomas Morris,1960-01-02,425285345549,"05458 Megan Ports, Mariashire, WV 86912",Farmer Pension,Central,2964.14,2021-09-28,Monthly,345621775289,IFSC1954,DistrictC,State1,North,1,2964.14,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
Matthew Turner,1959-04-26,320118521914,"539 Serrano Springs, Lake Bradley, MT 22340",Disability Pension,Central,1202.91,2024-01-21,Quarterly,226243159869,IFSC7348,DistrictC,State1,North,1,1202.91,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
Jared Martinez,1958-07-01,134159756502,"918 Lopez Groves, Lewismouth, HI 94083",Widow Pension,Central,1331.72,2021-05-13,Monthly,975672699577,IFSC3550,DistrictB,State2,North,1,1331.72,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Brent Grant,1963-11-17,816469834680,"1332 Neal Hill Apt. 568, East Michael, AZ 76486",Old Age Pension,State,3779.29,2020-10-24,Quarterly,787554297250,IFSC5440,DistrictC,State2,South,1,3779.29,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Robert Gilmore,1934-07-29,783691778131,"2024 Joseph Summit, Yangstad, TX 34283",Farmer Pension,Central,2986.69,2022-12-23,Quarterly,929857420015,IFSC8343,DistrictB,State2,South,1,2986.69,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
Jeffrey Hale,1949-02-16,994611808433,"83318 Allison Pine, East Kevin, WI 63581",Disability Pension,Central,3998.44,2021-12-25,Quarterly,072655168496,IFSC2361,DistrictA,State1,South,1,3998.44,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
Matthew Elliott,1951-11-27,291650703496,"461 Adams Place, Lake Susan, NY 62340",Old Age Pension,State,3088.64,2022-05-20,Monthly,557932237608,IFSC2872,DistrictA,State2,South,1,3088.64,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Mr. Jason Dennis,1963-06-22,726901162211,"10406 Robert Ford Suite 449, Ponceborough, TN 86042",Widow Pension,Central,3461.55,2021-07-04,Monthly,122697577287,IFSC5214,DistrictC,State2,North,1,3461.55,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Norma Garcia,1955-09-30,627085685565,"720 Christine Fort, Cohenview, PA 78429",Old Age Pension,State,4816.54,2024-05-02,Monthly,360344191102,IFSC2084,DistrictB,State1,North,1,4816.54,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Jessica Brown,1942-03-03,995911264264,"109 Valdez Shoals, West Tiffanychester, IN 45714",Disability Pension,Central,4719.14,2022-09-25,Quarterly,718148955045,IFSC0358,DistrictB,State1,North,1,4719.14,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
Nathan Lopez,1947-02-04,1799189350,"705 Bryan Drive, New Robertfort, UT 21040",Old Age Pension,Central,1594.55,2021-08-15,Monthly,026569048807,IFSC0739,DistrictA,State2,North,1,1594.55,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
Amanda Swanson,1961-01-12,957963775566,"7808 Sellers Drives Suite 936, Port Williamshire, NV 64104",Widow Pension,Central,3919.13,2022-07-15,Quarterly,024218890574,IFSC6982,DistrictB,State2,North,1,3919.13,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Jeffrey Garcia,1937-11-13,850463888876,"PSC 8632, Box 3913, APO AA 01972",Disability Pension,State,3909.63,2021-04-28,Monthly,450710112877,IFSC9175,DistrictB,State1,South,1,3909.63,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Daniel Quinn,1944-10-04,151983140716,"92533 Rogers Island, Port Michaelton, TX 47272",Widow Pension,Central,1751.95,2020-11-16,Quarterly,953179886647,IFSC0920,DistrictB,State2,South,1,1751.95,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
Tyrone Turner,1946-04-14,281490044303,"Unit 8863 Box 5205, DPO AP 88226",Disability Pension,Central,1717.99,2024-04-17,Monthly,054311386184,IFSC8259,DistrictB,State2,North,2,5671.26,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
Daniel Taylor,1941-05-16,924206100375,"PSC 8165, Box 3473, APO AP 27112",Farmer Pension,State,1579.3,2022-05-03,Monthly,162320579046,IFSC9231,DistrictC,State2,South,1,1579.3,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Lisa Thomas,1950-10-26,155456225541,"38770 Patton Mews, Espinozachester, NJ 94980",Old Age Pension,Central,2789.5,2022-09-24,Monthly,042806988853,IFSC1476,DistrictC,State2,North,1,2789.5,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Norma Phillips,1937-12-09,102086157643,"11254 Hardy Knoll, New Michael, WI 49905",Widow Pension,State,4496.35,2024-09-16,Quarterly,855308195085,IFSC0655,DistrictB,State1,South,1,4496.35,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Derek Small,1962-12-29,407483107298,"450 Tyler Glens, Cindyhaven, MN 40884",Farmer Pension,State,4399.78,2020-12-28,Monthly,612074977633,IFSC4375,DistrictB,State1,South,1,4399.78,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
Shawn Keller,1964-11-04,962150862214,"478 Rodriguez Expressway, Teresamouth, ID 35019",Disability Pension,Central,1743.06,2020-06-23,Monthly,911646618659,IFSC6401,DistrictC,State2,North,1,1743.06,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
Tracy Holden,1942-09-21,30817510879,"52933 Steven Roads, North Matthew, WY 99633",Farmer Pension,State,3747.95,2022-10-12,Quarterly,382364242157,IFSC8611,DistrictC,State1,South,1,3747.95,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
